Content Area,Standard Identifier,Grade Range,Min Grade,Max Grade,Subject Area,Domain,Cluster,Description
English Language Arts,RI.3.3,3,3,3,"English Language Arts & Literacy in History/Social Studies, Science, and Technical Subjects (K-5)",Reading: Informational Text,Key Ideas and Details,"Standard:
Describe the relationship between a series of historical events, scientific ideas or concepts, or steps in technical procedures in a text, using language that pertains to time, sequence, and cause/effect."
English Language Arts,RI.3.4,3,3,3,"English Language Arts & Literacy in History/Social Studies, Science, and Technical Subjects (K-5)",Reading: Informational Text,Craft and Structure,"Standard:
Determine the meaning of general academic and domain-specific words and phrases in a text relevant to a grade 3 topic or subject area. (See grade 3 Language standards 4-6 for additional expectations.) CA"
English Language Arts,RI.3.5,3,3,3,"English Language Arts & Literacy in History/Social Studies, Science, and Technical Subjects (K-5)",Reading: Informational Text,Craft and Structure,"Standard:
Use text features and search tools (e.g., key words, sidebars, hyperlinks) to locate information relevant to a given topic efficiently."
English Language Arts,RI.3.6,3,3,3,"English Language Arts & Literacy in History/Social Studies, Science, and Technical Subjects (K-5)",Reading: Informational Text,Craft and Structure,"Standard:
Distinguish their own point of view from that of the author of a text."
English Language Arts,RI.3.7,3,3,3,"English Language Arts & Literacy in History/Social Studies, Science, and Technical Subjects (K-5)",Reading: Informational Text,Integration of Knowledge and Ideas,"Standard:
Use information gained from illustrations (e.g., maps, photographs) and the words in a text to demonstrate understanding of the text (e.g., where, when, why, and how key events occur)."
English Language Arts,RI.3.8,3,3,3,"English Language Arts & Literacy in History/Social Studies, Science, and Technical Subjects (K-5)",Reading: Informational Text,Integration of Knowledge and Ideas,"Standard:
Describe the logical connection between particular sentences and paragraphs in a text (e.g., comparison, cause/effect, first/second/third in a sequence)."
English Language Arts,RI.3.9,3,3,3,"English Language Arts & Literacy in History/Social Studies, Science, and Technical Subjects (K-5)",Reading: Informational Text,Integration of Knowledge and Ideas,"Standard:
Compare and contrast the most important points and key details presented in two texts on the same topic."
English Language Arts,RL.3.1,3,3,3,"English Language Arts & Literacy in History/Social Studies, Science, and Technical Subjects (K-5)",Reading: Literature,Key Ideas and Details,"Standard:
Ask and answer questions to demonstrate understanding of a text, referring explicitly to the text as the basis for the answers."
English Language Arts,RL.3.10,3,3,3,"English Language Arts & Literacy in History/Social Studies, Science, and Technical Subjects (K-5)",Reading: Literature,Range of Reading and Level of Text Complexity,"Standard:
By the end of the year, read and comprehend literature, including stories, dramas, and poetry, at the high end of the grades 2-3 text complexity band independently and proficiently."
English Language Arts,RL.3.2,3,3,3,"English Language Arts & Literacy in History/Social Studies, Science, and Technical Subjects (K-5)",Reading: Literature,Key Ideas and Details,"Standard:
Recount stories, including fables, folktales, and myths from diverse cultures; determine the central message, lesson, or moral and explain how it is conveyed through key details in the text."
English Language Arts,RL.3.3,3,3,3,"English Language Arts & Literacy in History/Social Studies, Science, and Technical Subjects (K-5)",Reading: Literature,Key Ideas and Details,"Standard:
Describe characters in a story (e.g., their traits, motivations, or feelings) and explain how their actions contribute to the sequence of events."
English Language Arts,RL.3.4,3,3,3,"English Language Arts & Literacy in History/Social Studies, Science, and Technical Subjects (K-5)",Reading: Literature,Craft and Structure,"Standard:
Determine the meaning of words and phrases as they are used in a text, distinguishing literal from nonliteral language. (See grade 3 Language standards 4-6 for additional expectations.) CA"
English Language Arts,RL.3.5,3,3,3,"English Language Arts & Literacy in History/Social Studies, Science, and Technical Subjects (K-5)",Reading: Literature,Craft and Structure,"Standard:
Refer to parts of stories, dramas, and poems when writing or speaking about a text, using terms such as chapter, scene, and stanza; describe how each successive part builds on earlier sections."
English Language Arts,RL.3.6,3,3,3,"English Language Arts & Literacy in History/Social Studies, Science, and Technical Subjects (K-5)",Reading: Literature,Craft and Structure,"Standard:
Distinguish their own point of view from that of the narrator or those of the characters."
English Language Arts,RL.3.7,3,3,3,"English Language Arts & Literacy in History/Social Studies, Science, and Technical Subjects (K-5)",Reading: Literature,Integration of Knowledge and Ideas,"Standard:
Explain how specific aspects of a text's illustrations contribute to what is conveyed by the words in a story (e.g., create mood, emphasize aspects of a character or setting)."
English Language Arts,RL.3.8,3,3,3,"English Language Arts & Literacy in History/Social Studies, Science, and Technical Subjects (K-5)",Reading: Literature,Integration of Knowledge and Ideas,"Standard:
(Not applicable to literature)"
English Language Arts,RL.3.9,3,3,3,"English Language Arts & Literacy in History/Social Studies, Science, and Technical Subjects (K-5)",Reading: Literature,Integration of Knowledge and Ideas,"Standard:
Compare and contrast the themes, settings, and plots of stories written by the same author about the same or similar characters (e.g., in books from a series)."
English Language Arts,SL.3.1,3,3,3,"English Language Arts & Literacy in History/Social Studies, Science, and Technical Subjects (K-5)",Speaking and Listening,Comprehension and Collaboration,"Standard:
Engage effectively in a range of collaborative discussions (one-on-one, in groups, and teacher led) with diverse partners on grade 3 topics and+E601 texts, building on others' ideas and expressing their own clearly.
a. Come to discussions prepared, having read or studied required material; explicitly draw on that preparation and other information known about the topic to explore ideas under discussion.
b. Follow agreed-upon rules for discussions (e.g., gaining the floor in respectful ways, listening to others with care, speaking one at a time about the topics and texts under discussion).
c. Ask questions to check understanding of information presented, stay on topic, and link their comments to the remarks of others.
d. Explain their own ideas and understanding in light of the discussion."
English Language Arts,SL.3.2,3,3,3,"English Language Arts & Literacy in History/Social Studies, Science, and Technical Subjects (K-5)",Speaking and Listening,Comprehension and Collaboration,"Standard:
Determine the main ideas and supporting details of a text read aloud or information presented in diverse media and formats, including visually, quantitatively, and orally."
English Language Arts,SL.3.3,3,3,3,"English Language Arts & Literacy in History/Social Studies, Science, and Technical Subjects (K-5)",Speaking and Listening,Comprehension and Collaboration,"Standard:
Ask and answer questions about information from a speaker, offering appropriate elaboration and detail."
English Language Arts,SL.3.4,3,3,3,"English Language Arts & Literacy in History/Social Studies, Science, and Technical Subjects (K-5)",Speaking and Listening,Presentation of Knowledge and Ideas,"Standard:
Report on a topic or text, tell a story, or recount an experience with appropriate facts and relevant, descriptive details, speaking clearly at an understandable pace.
a. Plan and deliver an informative/explanatory presentation on a topic that: organizes ideas around major points of information, follows a logical sequence, includes supporting details, uses clear and specific vocabulary, and provides a strong conclusion. CA"
English Language Arts,SL.3.5,3,3,3,"English Language Arts & Literacy in History/Social Studies, Science, and Technical Subjects (K-5)",Speaking and Listening,Presentation of Knowledge and Ideas,"Standard:
Create engaging audio recordings of stories or poems that demonstrate fluid reading at an understandable pace; add visual displays when appropriate to emphasize or enhance certain facts or details."
English Language Arts,SL.3.6,3,3,3,"English Language Arts & Literacy in History/Social Studies, Science, and Technical Subjects (K-5)",Speaking and Listening,Presentation of Knowledge and Ideas,"Standard:
Speak in complete sentences when appropriate to task and situation in order to provide requested detail or clarification. (See grade 3 Language standards 1 and 3 for specific expectations.)"
English Language Arts,W.3.1,3,3,3,"English Language Arts & Literacy in History/Social Studies, Science, and Technical Subjects (K-5)",Writing,Text Types and Purposes,"Standard:
Write opinion pieces on topics or texts, supporting a point of view with reasons.
a. Introduce the topic or text they are writing about, state an opinion, and create an organizational structure that lists reasons.
b. Provide reasons that support the opinion.
c. Use linking words and phrases (e.g., because, therefore, since, for example) to connect opinion and reasons.
d. Provide a concluding statement or section."
English Language Arts,W.3.10,3,3,3,"English Language Arts & Literacy in History/Social Studies, Science, and Technical Subjects (K-5)",Writing,Range of Writing,"Standard:
Write routinely over extended time frames (time for research, reflection, and revision) and shorter time frames (a single sitting or a day or two) for a range of discipline-specific tasks, purposes, and audiences."
English Language Arts,W.3.2,3,3,3,"English Language Arts & Literacy in History/Social Studies, Science, and Technical Subjects (K-5)",Writing,Text Types and Purposes,"Standard:
Write informative/explanatory texts to examine a topic and convey ideas and information clearly.
a. Introduce a topic and group related information together; include illustrations when useful to aiding comprehension.
b. Develop the topic with facts, definitions, and details.
c. Use linking words and phrases (e.g., also, another, and, more, but) to connect ideas within categories of information.
d. Provide a concluding statement or section."
English Language Arts,W.3.3,3,3,3,"English Language Arts & Literacy in History/Social Studies, Science, and Technical Subjects (K-5)",Writing,Text Types and Purposes,"Standard:
Write narratives to develop real or imagined experiences or events using effective technique, descriptive details, and clear event sequences.
a. Establish a situation and introduce a narrator and/or characters; organize an event sequence that unfolds naturally.
b. Use dialogue and descriptions of actions, thoughts, and feelings to develop experiences and events or show the response of characters to situations.
c. Use temporal words and phrases to signal event order.
d. Provide a sense of closure."
English Language Arts,W.3.4,3,3,3,"English Language Arts & Literacy in History/Social Studies, Science, and Technical Subjects (K-5)",Writing,Production and Distribution of Writing,"Standard:
With guidance and support from adults, produce writing in which the development and organization are appropriate to task and purpose. (Grade-specific expectations for writing types are defined in standards 1-3 above.)"
English Language Arts,W.3.5,3,3,3,"English Language Arts & Literacy in History/Social Studies, Science, and Technical Subjects (K-5)",Writing,Production and Distribution of Writing,"Standard:
With guidance and support from peers and adults, develop and strengthen writing as needed by planning, revising, and editing. (Editing for conventions should demonstrate command of Language standards 1-3 up to and including grade 3.)"
English Language Arts,W.3.6,3,3,3,"English Language Arts & Literacy in History/Social Studies, Science, and Technical Subjects (K-5)",Writing,Production and Distribution of Writing,"Standard:
With guidance and support from adults, use technology to produce and publish writing (using keyboarding skills) as well as to interact and collaborate with others."
English Language Arts,W.3.7,3,3,3,"English Language Arts & Literacy in History/Social Studies, Science, and Technical Subjects (K-5)",Writing,Research to Build and Present Knowledge,"Standard:
Conduct short research projects that build knowledge about a topic."
English Language Arts,W.3.8,3,3,3,"English Language Arts & Literacy in History/Social Studies, Science, and Technical Subjects (K-5)",Writing,Research to Build and Present Knowledge,"Standard:
Recall information from experiences or gather information from print and digital sources; take brief notes on sources and sort evidence into provided categories."
English Language Arts,W.3.9,3,3,3,"English Language Arts & Literacy in History/Social Studies, Science, and Technical Subjects (K-5)",Writing,Research to Build and Present Knowledge,"Standard:
(Begins in grade 4)"
English Language Arts,L.4.1,4,4,4,"English Language Arts & Literacy in History/Social Studies, Science, and Technical Subjects (K-5)",Language,Conventions of Standard English,"Standard:
Demonstrate command of the conventions of standard English grammar and usage when writing or speaking.
a. Use interrogative, relative pronouns (who, whose, whom, which, that) and relative adverbs (where, when, why). CA
b. Form and use the progressive (e.g., I was walking; I am walking; I will be walking) verb tenses.
c. Use modal auxiliaries (e.g., can, may, must) to convey various conditions.
d. Order adjectives within sentences according to conventional patterns (e.g., a small red bag rather than a red small bag).
e. Form and use prepositional phrases.
f. Produce complete sentences, recognizing and correcting inappropriate fragments and run-ons.*
g. Correctly use frequently confused words (e.g., to, too, two; there, their).*
h. Write fluidly and legibly in cursive or joined italics. CA

Footnote:
Beginning in grade 3, skills and understandings that are particularly likely to require continued attention in higher grades as they are applied to increasingly sophisticated writing and speaking are marked with an asterisk (*)."
English Language Arts,L.4.2,4,4,4,"English Language Arts & Literacy in History/Social Studies, Science, and Technical Subjects (K-5)",Language,Conventions of Standard English,"Standard:
Demonstrate command of the conventions of standard English capitalization, punctuation, and spelling when writing.
a. Use correct capitalization.
b. Use commas and quotation marks to mark direct speech and quotations from a text.
c. Use a comma before a coordinating conjunction in a compound sentence.
d. Spell grade-appropriate words correctly, consulting references as needed."
English Language Arts,L.4.3,4,4,4,"English Language Arts & Literacy in History/Social Studies, Science, and Technical Subjects (K-5)",Language,Knowledge of Language,"Standard:
Use knowledge of language and its conventions when writing, speaking, reading, or listening.
a. Choose words and phrases to convey ideas precisely.*
b. Choose punctuation for effect.*
c. Differentiate between contexts that call for formal English (e.g., presenting ideas) and situations where informal discourse is appropriate (e.g., small-group discussion).

Footnote:
Beginning in grade 3, skills and understandings that are particularly likely to require continued attention in higher grades as they are applied to increasingly sophisticated writing and speaking are marked with an asterisk (*)."
English Language Arts,L.4.4,4,4,4,"English Language Arts & Literacy in History/Social Studies, Science, and Technical Subjects (K-5)",Language,Vocabulary Acquisition and Use,"Standard:
Determine or clarify the meaning of unknown and multiple-meaning words and phrases based on grade 4 reading and content, choosing flexibly from a range of strategies.
a. Use context (e.g., definitions, examples, or restatements in text) as a clue to the meaning of a word or phrase.
b. Use common, grade-appropriate Greek and Latin affixes and roots as clues to the meaning of a word (e.g., telegraph, photograph, autograph).
c. Consult reference materials (e.g., dictionaries, glossaries, thesauruses), both print and digital, to find the pronunciation and determine or clarify the precise meaning of key words and phrases and to identify alternate word choices in all content areas. CA"
English Language Arts,L.4.5,4,4,4,"English Language Arts & Literacy in History/Social Studies, Science, and Technical Subjects (K-5)",Language,Vocabulary Acquisition and Use,"Standard:
Demonstrate understanding of figurative language, word relationships, and nuances in word meanings.
a. Explain the meaning of simple similes and metaphors (e.g., as pretty as a picture) in context.
b. Recognize and explain the meaning of common idioms, adages, and proverbs.
c. Demonstrate understanding of words by relating them to their opposites (antonyms) and to words with similar but not identical meanings (synonyms)."
English Language Arts,L.4.6,4,4,4,"English Language Arts & Literacy in History/Social Studies, Science, and Technical Subjects (K-5)",Language,Vocabulary Acquisition and Use,"Standard:
Acquire and use accurately grade-appropriate general academic and domain-specific words and phrases, including those that signal precise actions, emotions, or states of being (e.g., quizzed, whined, stammered) and that are basic to a particular topic (e.g., wildlife, conservation, and endangered when discussing animal preservation)."
English Language Arts,RF.4.3,4,4,4,"English Language Arts & Literacy in History/Social Studies, Science, and Technical Subjects (K-5)",Reading: Foundational Skills,Phonics and Word Recognition,"Standard:
Know and apply grade-level phonics and word analysis skills in decoding words.
a. Use combined knowledge of all letter-sound correspondences, syllabication patterns, and morphology (e.g., roots and affixes) to read accurately unfamiliar multisyllabic words in context and out of context."
English Language Arts,RF.4.4,4,4,4,"English Language Arts & Literacy in History/Social Studies, Science, and Technical Subjects (K-5)",Reading: Foundational Skills,Fluency,"Standard:
Read with sufficient accuracy and fluency to support comprehension.
a. Read on-level text with purpose and understanding.
b. Read on-level prose and poetry orally with accuracy, appropriate rate, and expression on successive readings.
c. Use context to confirm or self-correct word recognition and understanding, rereading as necessary."
English Language Arts,RI.4.1,4,4,4,"English Language Arts & Literacy in History/Social Studies, Science, and Technical Subjects (K-5)",Reading: Informational Text,Key Ideas and Details,"Standard:
Refer to details and examples in a text when explaining what the text says explicitly and when drawing inferences from the text."
English Language Arts,RI.4.10,4,4,4,"English Language Arts & Literacy in History/Social Studies, Science, and Technical Subjects (K-5)",Reading: Informational Text,Range of Reading and Level of Text Complexity,"Standard:
By the end of year, read and comprehend informational texts, including history/social studies, science, and technical texts, in the grades 4-5 text complexity band proficiently, with scaffolding as needed at the high end of the range."
English Language Arts,RI.4.2,4,4,4,"English Language Arts & Literacy in History/Social Studies, Science, and Technical Subjects (K-5)",Reading: Informational Text,Key Ideas and Details,"Standard:
Determine the main idea of a text and explain how it is supported by key details; summarize the text."
English Language Arts,RI.4.3,4,4,4,"English Language Arts & Literacy in History/Social Studies, Science, and Technical Subjects (K-5)",Reading: Informational Text,Key Ideas and Details,"Standard:
Explain events, procedures, ideas, or concepts in a historical, scientific, or technical text, including what happened and why, based on specific information in the text."
English Language Arts,RI.4.4,4,4,4,"English Language Arts & Literacy in History/Social Studies, Science, and Technical Subjects (K-5)",Reading: Informational Text,Craft and Structure,"Standard:
Determine the meaning of general academic and domain-specific words or phrases in a text relevant to a grade 4 topic or subject area. (See grade 4 Language standards 4-6 for additional expectations.) CA"
English Language Arts,RI.4.5,4,4,4,"English Language Arts & Literacy in History/Social Studies, Science, and Technical Subjects (K-5)",Reading: Informational Text,Craft and Structure,"Standard:
Describe the overall structure (e.g., chronology, comparison, cause/effect, problem/solution) of events, ideas, concepts, or information in a text or part of a text."
English Language Arts,RI.4.6,4,4,4,"English Language Arts & Literacy in History/Social Studies, Science, and Technical Subjects (K-5)",Reading: Informational Text,Craft and Structure,"Standard:
Compare and contrast a firsthand and secondhand account of the same event or topic; describe the differences in focus and the information provided."
English Language Arts,RI.4.7,4,4,4,"English Language Arts & Literacy in History/Social Studies, Science, and Technical Subjects (K-5)",Reading: Informational Text,Integration of Knowledge and Ideas,"Standard:
Interpret information presented visually, orally, or quantitatively (e.g., in charts, graphs, diagrams, time lines, animations, or interactive elements on Web pages) and explain how the information contributes to an understanding of the text in which it appears."
English Language Arts,RI.4.8,4,4,4,"English Language Arts & Literacy in History/Social Studies, Science, and Technical Subjects (K-5)",Reading: Informational Text,Integration of Knowledge and Ideas,"Standard:
Explain how an author uses reasons and evidence to support particular points in a text."
English Language Arts,RI.4.9,4,4,4,"English Language Arts & Literacy in History/Social Studies, Science, and Technical Subjects (K-5)",Reading: Informational Text,Integration of Knowledge and Ideas,"Standard:
Integrate information from two texts on the same topic in order to write or speak about the subject knowledgeably."
English Language Arts,RL.4.1,4,4,4,"English Language Arts & Literacy in History/Social Studies, Science, and Technical Subjects (K-5)",Reading: Literature,Key Ideas and Details,"Standard:
Refer to details and examples in a text when explaining what the text says explicitly and when drawing inferences from the text."
English Language Arts,RL.4.10,4,4,4,"English Language Arts & Literacy in History/Social Studies, Science, and Technical Subjects (K-5)",Reading: Literature,Range of Reading and Level of Text Complexity,"Standard:
By the end of the year, read and comprehend literature, including stories, dramas, and poetry, in the grades 4-5 text complexity band proficiently, with scaffolding as needed at the high end of the range."
English Language Arts,RL.4.2,4,4,4,"English Language Arts & Literacy in History/Social Studies, Science, and Technical Subjects (K-5)",Reading: Literature,Key Ideas and Details,"Standard:
Determine a theme of a story, drama, or poem from details in the text; summarize the text."
English Language Arts,RL.4.3,4,4,4,"English Language Arts & Literacy in History/Social Studies, Science, and Technical Subjects (K-5)",Reading: Literature,Key Ideas and Details,"Standard:
Describe in depth a character, setting, or event in a story or drama, drawing on specific details in the text (e.g., a character's thoughts, words, or actions)."
English Language Arts,RL.4.4,4,4,4,"English Language Arts & Literacy in History/Social Studies, Science, and Technical Subjects (K-5)",Reading: Literature,Craft and Structure,"Standard:
Determine the meaning of words and phrases as they are used in a text, including those that allude to significant characters found in mythology (e.g., Herculean). (See grade 4 Language standards 4-6 for additional expectations.) CA"
English Language Arts,RL.4.5,4,4,4,"English Language Arts & Literacy in History/Social Studies, Science, and Technical Subjects (K-5)",Reading: Literature,Craft and Structure,"Standard:
Explain major differences between poems, drama, and prose, and refer to the structural elements of poems (e.g., verse, rhythm, meter) and drama (e.g., casts of characters, settings, descriptions, dialogue, stage directions) when writing or speaking about a text."
English Language Arts,RL.4.6,4,4,4,"English Language Arts & Literacy in History/Social Studies, Science, and Technical Subjects (K-5)",Reading: Literature,Craft and Structure,"Standard:
Compare and contrast the point of view from which different stories are narrated, including the difference between first- and third-person narrations."
English Language Arts,RL.4.7,4,4,4,"English Language Arts & Literacy in History/Social Studies, Science, and Technical Subjects (K-5)",Reading: Literature,Integration of Knowledge and Ideas,"Standard:
Make connections between the text of a story or drama and a visual or oral presentation of the text, identifying where each version reflects specific descriptions and directions in the text."
English Language Arts,RL.4.8,4,4,4,"English Language Arts & Literacy in History/Social Studies, Science, and Technical Subjects (K-5)",Reading: Literature,Integration of Knowledge and Ideas,"Standard:
(Not applicable to literature)"
English Language Arts,RL.4.9,4,4,4,"English Language Arts & Literacy in History/Social Studies, Science, and Technical Subjects (K-5)",Reading: Literature,Integration of Knowledge and Ideas,"Standard:
Compare and contrast the treatment of similar themes and topics (e.g., opposition of good and evil) and patterns of events (e.g., the quest) in stories, myths, and traditional literature from different cultures."
English Language Arts,SL.4.1,4,4,4,"English Language Arts & Literacy in History/Social Studies, Science, and Technical Subjects (K-5)",Speaking and Listening,Comprehension and Collaboration,"Standard:
Engage effectively in a range of collaborative discussions (one-on-one, in groups, and teacher-led) with diverse partners on grade 4 topics and texts, building on others' ideas and expressing their own clearly.
a. Come to discussions prepared, having read or studied required material; explicitly draw on that preparation and other information known about the topic to explore ideas under discussion.
b. Follow agreed-upon rules for discussions and carry out assigned roles.
c. Pose and respond to specific questions to clarify or follow up on information, and make comments that contribute to the discussion and link to the remarks of others.
d.Review the key ideas expressed and explain their own ideas and understanding in light of the discussion."
English Language Arts,SL.4.2,4,4,4,"English Language Arts & Literacy in History/Social Studies, Science, and Technical Subjects (K-5)",Speaking and Listening,Comprehension and Collaboration,"Standard:
Paraphrase portions of a text read aloud or information presented in diverse media and formats, including visually, quantitatively, and orally."
English Language Arts,SL.4.3,4,4,4,"English Language Arts & Literacy in History/Social Studies, Science, and Technical Subjects (K-5)",Speaking and Listening,Comprehension and Collaboration,"Standard:
Identify the reasons and evidence a speaker of media source provides to support particular points. CA"
English Language Arts,SL.4.4,4,4,4,"English Language Arts & Literacy in History/Social Studies, Science, and Technical Subjects (K-5)",Speaking and Listening,Presentation of Knowledge and Ideas,"Standard:
Report on a topic or text, tell a story, or recount an experience in an organized manner, using appropriate facts and relevant, descriptive details to support main ideas or themes; speak clearly at an understandable pace.
a. Plan and deliver a narrative presentation that: relates ideas, observations, or recollections; provides a clear context; and includes clear insight into why the event or experience is memorable. CA"
English Language Arts,SL.4.5,4,4,4,"English Language Arts & Literacy in History/Social Studies, Science, and Technical Subjects (K-5)",Speaking and Listening,Presentation of Knowledge and Ideas,"Standard:
Add audio recordings and visual displays to presentations when appropriate to enhance the development of main ideas or themes."
English Language Arts,SL.4.6,4,4,4,"English Language Arts & Literacy in History/Social Studies, Science, and Technical Subjects (K-5)",Speaking and Listening,Presentation of Knowledge and Ideas,"Standard:
Differentiate between contexts that call for formal English (e.g., presenting ideas) and situations where informal discourse is appropriate (e.g., small-group discussion); use formal English when appropriate to task and situation. (See grade 4 Language standards 1 and 3 for specific expectations.)"
English Language Arts,W.4.1,4,4,4,"English Language Arts & Literacy in History/Social Studies, Science, and Technical Subjects (K-5)",Writing,Text Types and Purposes,"Standard:
Write opinion pieces on topics or texts, supporting a point of view with reasons and information.
a. Introduce a topic or text clearly, state an opinion, and create an organizational structure in which related ideas are grouped to support the writer's purpose.
b. Provide reasons that are supported by facts and details.
c. Link opinion and reasons using words and phrases (e.g., for instance, in order to, in addition).
d. Provide a concluding statement or section related to the opinion presented."
English Language Arts,W.4.10,4,4,4,"English Language Arts & Literacy in History/Social Studies, Science, and Technical Subjects (K-5)",Writing,Range of Writing,"Standard:
Write routinely over extended time frames (time for research, reflection, and revision) and shorter time frames (a single sitting or a day or two) for a range of discipline-specific tasks, purposes, and audiences."
English Language Arts,W.4.2,4,4,4,"English Language Arts & Literacy in History/Social Studies, Science, and Technical Subjects (K-5)",Writing,Text Types and Purposes,"Standard:
Write informative/explanatory texts to examine a topic and convey ideas and information clearly.
a. Introduce a topic clearly and group related information in paragraphs and sections; include formatting (e.g., headings), illustrations, and multimedia when useful to aiding comprehension.
b. Develop the topic with facts, definitions, concrete details, quotations, or other information and examples related to the topic.
c. Link ideas within categories of information using words and phrases (e.g., another, for example, also, because).
d. Use precise language and domain-specific vocabulary to inform about or explain the topic.
e. Provide a concluding statement or section related to the information or explanation presented."
English Language Arts,W.4.3,4,4,4,"English Language Arts & Literacy in History/Social Studies, Science, and Technical Subjects (K-5)",Writing,Text Types and Purposes,"Standard:
Write narratives to develop real or imagined experiences or events using effective technique, descriptive details, and clear event sequences.
a. Orient the reader by establishing a situation and introducing a narrator and/or characters; organize an event sequence that unfolds naturally.
b. Use dialogue and description to develop experiences and events or show the responses of characters to situations.
c. Use a variety of transitional words and phrases to manage the sequence of events.
d. Use concrete words and phrases and sensory details to convey experiences and events precisely.
e. Provide a conclusion that follows from the narrated experiences or events."
English Language Arts,W.4.4,4,4,4,"English Language Arts & Literacy in History/Social Studies, Science, and Technical Subjects (K-5)",Writing,Production and Distribution of Writing,"Standard:
Produce clear and coherent writing (including multiple-paragraph texts) in which the development and organization are appropriate to task, purpose, and audience. (Grade-specific expectations for writing types are defined in standards 1-3 above.) CA"
English Language Arts,W.4.5,4,4,4,"English Language Arts & Literacy in History/Social Studies, Science, and Technical Subjects (K-5)",Writing,Production and Distribution of Writing,"Standard:
With guidance and support from peers and adults, develop and strengthen writing as needed by planning, revising, and editing. (Editing for conventions should demonstrate command of Language standards 1-3 up to and including grade 4.)"
English Language Arts,W.4.6,4,4,4,"English Language Arts & Literacy in History/Social Studies, Science, and Technical Subjects (K-5)",Writing,Production and Distribution of Writing,"Standard:
With some guidance and support from adults, use technology, including the Internet, to produce and publish writing as well as to interact and collaborate with others; demonstrate sufficient command of keyboarding skills to type a minimum of one page in a single sitting."
English Language Arts,W.4.7,4,4,4,"English Language Arts & Literacy in History/Social Studies, Science, and Technical Subjects (K-5)",Writing,Research to Build and Present Knowledge,"Standard:
Conduct short research projects that build knowledge through investigation of different aspects of a topic."
English Language Arts,W.4.8,4,4,4,"English Language Arts & Literacy in History/Social Studies, Science, and Technical Subjects (K-5)",Writing,Research to Build and Present Knowledge,"Standard:
Recall relevant information from experiences or gather relevant information from print and digital sources; take notes, paraphrase, and categorize information, and provide a list of sources. CA"
English Language Arts,W.4.9,4,4,4,"English Language Arts & Literacy in History/Social Studies, Science, and Technical Subjects (K-5)",Writing,Research to Build and Present Knowledge,"Standard:
Draw evidence from literary or informational texts to support analysis, reflection, and research.
a. Apply grade 4 Reading standards to literature (e.g., ""Describe in depth a character, setting, or event in a story or drama, drawing on specific details in the text [e.g., a character's thoughts, words, or actions]."").
b. Apply grade 4 Reading standards to informational texts (e.g., ""Explain how an author uses reasons and evidence to support particular points in a text"")."
English Language Arts,L.5.1,5,5,5,"English Language Arts & Literacy in History/Social Studies, Science, and Technical Subjects (K-5)",Language,Conventions of Standard English,"Standard:
Demonstrate command of the conventions of standard English grammar and usage when writing or speaking.
a. Explain the function of conjunctions, prepositions, and interjections in general and their function in particular sentences.
b. Form and use the perfect (e.g., I had walked; I have walked; I will have walked) verb tenses.
c. Use verb tense to convey various times, sequences, states, and conditions.
d. Recognize and correct inappropriate shifts in verb tense.*
e. Use correlative conjunctions (e.g., either/or, neither/nor).

Footnote:
Beginning in grade 3, skills and understandings that are particularly likely to require continued attention in higher grades as they are applied to increasingly sophisticated writing and speaking are marked with an asterisk (*)."
English Language Arts,L.5.2,5,5,5,"English Language Arts & Literacy in History/Social Studies, Science, and Technical Subjects (K-5)",Language,Conventions of Standard English,"Standard:
Demonstrate command of the conventions of standard English capitalization, punctuation, and spelling when writing.
a. Use punctuation to separate items in a series.*
b. Use a comma to separate an introductory element from the rest of the sentence.
c. Use a comma to set off the words yes and no (e.g., Yes, thank you), to set off a tag question from the rest of the sentence (e.g., It's true, isn't it?), and to indicate direct address (e.g., Is that you, Steve?).
d. Use underlining, quotation marks, or italics to indicate titles of works.
e. Spell grade-appropriate words correctly, consulting references as needed.

Footnote:
Beginning in grade 3, skills and understandings that are particularly likely to require continued attention in higher grades as they are applied to increasingly sophisticated writing and speaking are marked with an asterisk (*)."
English Language Arts,L.5.3,5,5,5,"English Language Arts & Literacy in History/Social Studies, Science, and Technical Subjects (K-5)",Language,Knowledge of Language,"Standard:
Use knowledge of language and its conventions when writing, speaking, reading, or listening.
a.  Expand, combine, and reduce sentences for meaning, reader/listener interest, and style.
b. Compare and contrast the varieties of English (e.g., dialects, registers) used in stories, dramas, or poems."
English Language Arts,L.5.4,5,5,5,"English Language Arts & Literacy in History/Social Studies, Science, and Technical Subjects (K-5)",Language,Vocabulary Acquisition and Use,"Standard:
Determine or clarify the meaning of unknown and multiple-meaning words and phrases based on grade 5 reading and content, choosing flexibly from a range of strategies.
a. Use context (e.g., cause/effect relationships and comparisons in text) as a clue to the meaning of a word or phrase.
b. Use common, grade-appropriate Greek and Latin affixes and roots as clues to the meaning of a word (e.g., photograph, photosynthesis).
c. Consult reference materials (e.g., dictionaries, glossaries, thesauruses), both print and digital, to find the pronunciation and determine or clarify the precise meaning of key words and phrases and to identify alternate word choices in all content areas. CA"
